School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
Mountain View High (El Monte Union High),Los Angeles,El Monte Union High,High School,1404,30.2,0.1,4.4,0,0.2,94.4,0,0.4,0,0.5,95.1,18.5,14,1.1,432,417
Mountain View High (Mountain View-Los Altos Union High),Santa Clara,Mountain View-Los Altos Union High,High School,1871,10,0.1,22.5,1.4,3.6,21.6,0.7,3.6,0,46.3,14.5,20.2,12,5.3,613,590
Mt. Carmel High (Poway Unified),San Diego,Poway Unified,High School,1960,5.1,0.5,14.3,4.4,11.7,13.8,1,5.6,0.7,48.1,20.6,26.7,13,0.9,562,523
Mt. Diablo High (Mt. Diablo Unified),Contra Costa,Mt. Diablo Unified,High School,1307,29.3,0.1,4.7,9.5,5,66.6,2.4,2.5,0.8,8.3,75.2,18.6,11,10.4,427,430
Mt. Eden High (Hayward Unified),Alameda,Hayward Unified,High School,2009,11.1,0.3,12.1,9.6,15.2,51.8,3.5,1.4,0,6,69.2,23.5,12,4.5,454,441
Mt. Pleasant High (East Side Union High),Santa Clara,East Side Union High,High School,1380,18.1,0.2,12.2,2.8,8.8,70.4,0.9,0.5,0,4.2,63.5,20.3,14,6.1,472,439
Mt. Shasta High (Siskiyou Union High),Siskiyou,Siskiyou Union High,High School,343,2,1.7,2.3,2.3,0.9,13.1,0.9,7.6,0.3,70.8,34.7,20,13,2.5,514,513
Mt. Whitney High (Visalia Unified),Tulare,Visalia Unified,High School,1590,9.7,2,3.8,1.4,0.3,63,0.6,1.6,0.2,27.2,51.9,23.3,11,7.9,470,460
Murrieta Mesa High (Murrieta Valley Unified),Riverside,Murrieta Valley Unified,High School,2219,2.3,0.6,5.1,6.8,2.7,36.1,0.5,4.8,0,43.3,30.6,26.8,9,2.9,480,461
Murrieta Valley High (Murrieta Valley Unified),Riverside,Murrieta Valley Unified,High School,2486,1.8,0.4,4.6,3.4,2.4,27.7,0.5,3.2,0,57.8,19.1,26.3,10,2.3,509,498
Napa High (Napa Valley Unified),Napa,Napa Valley Unified,High School,1884,13,0.8,0.9,0.3,0.4,60.7,0.4,2.8,0.4,33.3,47.6,21.9,13,4.8,504,482
Nathaniel Narbonne Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2559,9.1,0.2,2.6,19.4,6.3,63.5,2,0.7,0.2,5,71.8,22.3,16,0.2,450,429
Natomas High (Natomas Unified),Sacramento,Natomas Unified,High School,1015,17.9,0.4,8.7,19.7,1.9,55.5,1.5,4.2,2.9,5.3,61.3,20.3,10,11.6,459,444
Natomas Pacific Pathways Prep (Natomas Unified),Sacramento,Natomas Unified,High School,597,5,0.2,31,9.2,8.7,24.1,1.3,3.4,0.7,21.4,40.4,18.8,6,0,478,465
NAVA College Preparatory Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,491,19.8,0,0,3.9,0.2,93.5,0,0.2,0,2.2,93.3,22.6,8,3,N/A,N/A
Needles High (Needles Unified),San Bernardino,Needles Unified,High School,220,2.3,19.5,0.5,2.7,0,23.2,0.5,0,0.5,53.2,58.6,16.1,12,4.8,467,417
Nevada Union High (Nevada Joint Union High),Nevada,Nevada Joint Union High,High School,1653,2.5,1.2,1.7,0.6,0.4,10.1,0.2,2.5,0,83.3,35.3,20.2,12,6.4,554,533
New Designs Charter School-Watts (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,438,28.5,0,0,46.8,0,53,0,0,0,0.2,92.7,48.7,3,0,0,0
New Millennium Secondary (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,187,2.7,0,1.1,65.2,0,29.4,1.6,1.1,0,1.6,78.6,16.3,2,0.9,389,408
New Opportunities Charter (Centinela Valley Union High),Los Angeles,Centinela Valley Union High,High School,428,19.6,0.9,1.4,22.7,0.7,55.8,0.5,2.3,1.2,14.5,10,37.2,3,0,N/A,N/A
New Technology High (Sacramento City Unified),Sacramento,Sacramento City Unified,High School,238,16,0.8,2.1,14.7,0.8,57.6,0.4,3.4,0,20.2,71.8,14.3,11,7.3,418,430
New Village Girls Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,126,29.4,0,0.8,2.4,0.8,92.1,0,0.8,1.6,1.6,93.7,15.8,4,3.4,324,354
Newark Memorial High (Newark Unified),Alameda,Newark Unified,High School,1767,7.5,0.4,12.8,5.1,10.6,49.6,1.9,3.1,0.1,16.4,42.1,23.7,11,5.5,492,476
Newbury Park High (Conejo Valley Unified),Ventura,Conejo Valley Unified,High School,2511,2.8,0.6,10.7,1.4,1.4,20.4,0.3,2.5,0,62.6,15.2,25,11,1.7,573,548
Newport Harbor High (Newport-Mesa Unified),Orange,Newport-Mesa Unified,High School,2349,10.6,0.4,2,0.8,0.8,36.1,0.3,1.6,0,58,34.8,27.2,15,4.4,519,502
Nipomo High (Lucia Mar Unified),San Luis Obispo,Lucia Mar Unified,High School,964,11.1,0.3,0.8,0.4,0.6,56.3,0.2,1.5,0,39.8,57.9,18.6,7,6.6,479,457
Nogales High (Rowland Unified),Los Angeles,Rowland Unified,High School,1966,17.6,0.1,2.1,2,9.4,83.9,0.2,0.2,0.3,1.8,75.7,25,13,8.2,430,422
Norco High (Corona-Norco Unified),Riverside,Corona-Norco Unified,High School,2222,5.4,0.3,2.7,2.8,1.3,45.1,0.5,1,0.4,46,38.6,24.1,14,4.9,445,442
Nordhoff High (Ojai Unified),Ventura,Ojai Unified,High School,758,3.3,0.9,1.7,1.3,0.7,34.3,0,1.3,0,59.8,35.9,22.4,14,2.8,501,504
Norte Vista High (Alvord Unified),Riverside,Alvord Unified,High School,2243,35.3,0.2,1.3,1.7,0.2,90.8,0.3,0.4,0,5.1,83.9,24.7,11,1.8,379,384
North County Trade Tech High (Vista Unified),San Diego,Vista Unified,High School,161,5.6,0,1.2,1.9,0,48.4,0,10.6,1.2,36.6,44.1,14.7,3,5.1,0,0
North High (Torrance Unified),Los Angeles,Torrance Unified,High School,1901,9,0.3,24.7,8.7,4.6,40.4,0.9,6,0.9,13.4,45.3,22.2,11,14.7,437,432
North High (Kern High),Kern,Kern High,High School,1637,2.8,1.2,0.4,3.2,0.6,27.4,0.2,1.2,1.6,64.3,75.9,24.5,12,2.4,506,471
North Hollywood Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2610,11.4,0.2,7.7,4.4,1.8,69.5,0.1,1.1,0.2,15,72.4,23,16,0.4,481,482
North Monterey County High (North Monterey County Unified),Monterey,North Monterey County Unified,High School,1111,19.4,0.5,0.5,0.4,1.2,84.6,0.4,0.8,0.3,11.4,76.6,21.8,10,6.2,417,422
North Salinas High (Salinas Union High),Monterey,Salinas Union High,High School,1977,22.8,0.3,1.4,1.8,7.6,81,0.1,0.2,0.1,7.6,62.8,21,10,3.4,436,434
North Tahoe High (Tahoe-Truckee Unified),Placer,Tahoe-Truckee Unified,High School,362,8.6,0.6,0,0.3,0.6,40.3,0,1.9,0.6,55.8,46.1,15.4,11,4.6,513,512
North Valley Military Institute College Preparatory Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,495,18.6,0.4,0.6,2.4,0.4,92.1,0,1,0,3,85.3,21.3,3,2.1,403,406
Northgate High (Mt. Diablo Unified),Contra Costa,Mt. Diablo Unified,High School,1599,1.9,0.5,16.8,2.1,5.6,10.9,1,3,1.9,58.2,9.2,23.2,11,2.6,591,570
Northridge Academy High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1072,5,0.2,2.5,3.5,6.8,67.3,0.4,0.9,0,18.5,70.8,25.2,16,0.4,437,432
Northview High (Covina-Valley Unified),Los Angeles,Covina-Valley Unified,High School,1333,5.9,0.5,2.6,3.6,2.9,81.9,0.4,0.2,0.1,8,74.2,24,9,2.3,414,401
Northwest Prep Charter (Piner-Olivet Union Elementary),Sonoma,Piner-Olivet Union Elementary,High School,95,16.8,2.1,2.1,1.1,1.1,50.5,1.1,6.3,0,35.8,49.5,18.3,5,5.6,N/A,N/A
Northwood High (Irvine Unified),Orange,Irvine Unified,High School,2240,6.9,0.5,55.4,1.4,3.2,6.3,0.3,2.9,0.5,29.5,7.8,26.8,10,1.4,644,615
Norwalk High (Norwalk-La Mirada Unified),Los Angeles,Norwalk-La Mirada Unified,High School,2002,10.9,0.2,2,3,3.2,86.5,0.4,0.4,0.3,3.7,83.3,23.5,12,4.2,398,401
Nova Academy (Santa Ana Unified),Orange,Santa Ana Unified,High School,390,13.3,0,1.3,0.8,0,95.4,0,0.3,0.8,1.5,85.6,19.4,4,3.3,422,410
NOVA Academy - Coachella (Coachella Valley Unified),Riverside,Coachella Valley Unified,High School,207,24.6,0,0,0,0,100,0,0,0,0,90.8,23,3,5.2,418,424
Novato High (Novato Unified),Marin,Novato Unified,High School,1296,9,0.6,4,3.2,1.1,36,0.4,4.8,0,49.9,32.2,19.8,7,3.2,547,534
Nuview Bridge Early College High (Nuview Union),Riverside,Nuview Union,High School,600,1.8,0.2,3.5,3.8,0.8,72,0.3,0.8,1.3,17.2,68.3,27.9,8,0.3,483,472
O'Connell (John) High (San Francisco Unified),San Francisco,San Francisco Unified,High School,319,19.7,0.6,10,16.9,7.2,57.4,0.3,2.2,0.6,4.7,63.6,9.4,11,4.2,415,398
Oak Grove High (East Side Union High),Santa Clara,East Side Union High,High School,1812,17,0.4,20.4,5.7,3.9,57.1,0.5,3.6,0,8.3,52.6,22.3,13,4.5,518,475
Oak Hills High (Hesperia Unified),San Bernardino,Hesperia Unified,High School,2400,9.7,0.7,2,8.9,0.5,58.4,0.3,0.7,0.7,27.9,65.7,27.9,9,6.3,454,432
Oak Park High (Oak Park Unified),Ventura,Oak Park Unified,High School,1542,1.8,0.6,14.9,1.8,0.9,8.2,0.2,1.8,0,71.7,5.1,23.3,12,1.5,594,602
Oak Ridge High (El Dorado Union High),El Dorado,El Dorado Union High,High School,2400,0.6,0.3,9.5,1.7,1.9,11.1,0.1,5.3,0.1,70,5.6,24.7,12,2.6,583,544
Oakdale Charter (Oakdale Joint Unified),Stanislaus,Oakdale Joint Unified,High School,51,2,0,0,0,0,9.8,0,0,0,90.2,23.5,15.9,10,0,0,0
Oakdale High (Oakdale Joint Unified),Stanislaus,Oakdale Joint Unified,High School,1605,3.6,0.9,1.4,0.7,1.7,33.2,0.1,0.4,0,61.5,30.5,22.3,12,4.2,502,480
Oakland Charter High (Oakland Unified),Alameda,Oakland Unified,High School,403,25.3,0,48.1,5,1,44.4,0.2,0,0,1.2,83.1,18.3,2,4.9,551,488
Oakland High (Oakland Unified),Alameda,Oakland Unified,High School,1583,25.2,0.1,31.8,34.7,1.4,26.8,0.7,0.6,1.8,2.1,88.2,20.6,13,4.7,432,412
"Oakland Military Institute, College Preparatory Academy (Oakland Unified)",Alameda,Oakland Unified,High School,616,17.7,0.3,18,19.2,1.9,55,0.6,0.2,0,4.7,25,24.4,4,0.8,441,420
Oakland School for the Arts (Oakland Unified),Alameda,Oakland Unified,High School,745,0.5,0.7,4.3,17.9,0.5,12.1,0.4,16.1,11.5,36.5,11.9,22.9,3,4.2,513,543
Oakland Technical High (Oakland Unified),Alameda,Oakland Unified,High School,2016,6.7,0.1,18,31.4,1.8,18.2,0.2,4.6,1.9,23.8,47.9,20.8,14,2.2,527,522
Oakland Unity High (Oakland Unified),Alameda,Oakland Unified,High School,337,27,0.6,0.3,5.9,0.3,86.1,0.6,0.6,5.6,0,76.9,42.1,2,6.2,423,407
Oakmont High (Roseville Joint Union High),Placer,Roseville Joint Union High,High School,1882,3.9,0.6,7.3,3.2,6.2,19,0.4,4.1,0.4,58.7,23.8,22.4,10,5.6,521,500
Ocean View High (Huntington Beach Union High),Orange,Huntington Beach Union High,High School,1498,21.2,1.7,7.9,1.6,1.1,58.1,0.6,0.9,0.6,27.3,55.1,23.8,9,3.5,468,461
Oceanside High (Oceanside Unified),San Diego,Oceanside Unified,High School,2160,6.9,0.4,1,7.6,2.2,63.3,2.7,3,0.4,19.4,63.4,24,14,2.3,509,459
OCSA (Santa Ana Unified),Orange,Santa Ana Unified,High School,2096,0.4,0.1,16.8,1,2.2,23.6,0.1,10.4,0,45.7,11.1,29.3,7,0.8,560,574
Olympian High (Sweetwater Union High),San Diego,Sweetwater Union High,High School,2519,5.2,0,2.3,6.5,21,53.6,0.5,8.8,0,7.3,27.4,27,9,3.8,500,483
one.Charter (San Joaquin County Office of Education),San Joaquin,San Joaquin County Office of Education,High School,212,8.5,0,4.7,13.2,0.5,55.2,0,7.1,0,19.3,80.2,22.8,8,4.4,N/A,N/A
Ontario High (Chaffey Joint Union High),San Bernardino,Chaffey Joint Union High,High School,2463,19.2,0.5,2,3,0.4,89.4,0.4,1.2,0.3,2.7,87.1,23.8,13,4.3,451,426
Opportunities For Learning - Baldwin Park II (Baldwin Park Unified),Los Angeles,Baldwin Park Unified,High School,2919,11.5,0.8,0.8,15.8,0.4,69,0.5,2.7,0.2,9.8,86.3,21.1,3,0,411,430
Opportunities for Learning - Duarte (Duarte Unified),Los Angeles,Duarte Unified,High School,365,7.9,1.4,1.1,4.7,1.1,80.3,0,3.6,0.3,7.7,80,15.9,3,0,397,422
Opportunities For Learning - Fresno (Westside Elementary),Fresno,Westside Elementary,High School,35,25.7,0,0,0,2.9,82.9,0,2.9,2.9,8.6,91.4,35,2,0,0,0
Opportunities for Learning - Santa Clarita (William S. Hart Union High),Los Angeles,William S. Hart Union High,High School,1545,7.5,0.9,0.7,13.3,0.8,50.2,0.5,8.4,0.1,25.1,74.1,19.3,4,0,469,473
Optimist Charter (Los Angeles County Office of Education),Los Angeles,Los Angeles County Office of Education,High School,119,16,0,0,29.4,0,53.8,0,0,0,16.8,98.3,9.9,2,6.2,N/A,N/A
Options for Youth-San Bernardino (San Bernardino City Unified),San Bernardino,San Bernardino City Unified,High School,499,10.2,2.2,0.8,13,0.4,67.7,0.2,5.4,0.4,9.8,83.8,15.1,3,0,462,460
Options for Youth-Victorville Charter (Victor Valley Union High),San Bernardino,Victor Valley Union High,High School,2284,8.8,0.5,0.6,10.9,0.3,65.7,0.3,4.3,0.1,17.3,80.7,15.8,6,0.1,400,422
Orange County Conservation Corps Charter (Mono County Office of Education),Mono,Mono County Office of Education,High School,124,46,0,0.8,0.8,0.8,87.1,0.8,0,0,9.7,79.8,27.6,1,0,N/A,N/A
Orange Cove High (Kings Canyon Joint Unified),Fresno,Kings Canyon Joint Unified,High School,631,17.4,0,0.8,0,0,98.3,0,0,0,1,95.2,22.6,10,5.2,422,415
Orange Glen High (Escondido Union High),San Diego,Escondido Union High,High School,2033,19.1,0.2,1.4,2.4,1.4,85.3,0.4,0.4,0,8.5,84.5,23.2,12,5.4,446,434
Orange High (Orange Unified),Orange,Orange Unified,High School,1889,21.9,0.3,3.5,1.3,1.1,86.4,0.3,0.3,0.3,6.5,73.7,21.1,12,6.7,443,428
Orestimba High (Newman-Crows Landing Unified),Stanislaus,Newman-Crows Landing Unified,High School,797,25,0.1,0.8,1.8,0.8,74.2,0.4,2.4,0,19.7,49.9,22.1,9,3.8,430,429
Orland High (Orland Joint Unified),Glenn,Orland Joint Unified,High School,694,10.2,0.3,2.6,0.1,0.3,58.9,0.1,0.4,0.1,37,55.6,21.8,14,6.8,457,440
Orosi High (Cutler-Orosi Joint Unified),Tulare,Cutler-Orosi Joint Unified,High School,1045,29,0,0.9,0.1,4.2,92.6,0,0.2,0.2,1.8,90,22.5,12,8.4,423,417
Oroville High (Oroville Union High),Butte,Oroville Union High,High School,969,6.1,5.4,25.1,3,0.5,15.1,0.3,4.7,0,45.9,70.1,22.4,15,17.4,460,425
Oscar De La Hoya Animo Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,620,12.3,0,0,0,0,99.5,0,0,0.3,0.2,93.5,23,6,4.5,411,426
Otay Ranch Senior High (Sweetwater Union High),San Diego,Sweetwater Union High,High School,2581,10.3,0.1,3.1,4,16.1,64.5,0.8,6.4,0,4.9,33.4,24.6,14,3.9,492,468
Owens Valley High (Owens Valley Unified),Inyo,Owens Valley Unified,High School,22,4.5,9.1,0,4.5,0,36.4,0,4.5,0,45.5,54.5,7.9,5,19.2,N/A,N/A
Oxford Academy (Anaheim Union High),Orange,Anaheim Union High,High School,1208,0.3,0.3,59.8,1.7,7.9,17.5,0.4,2.3,0,10,34.9,29.8,14,1.2,652,641
Oxnard High (Oxnard Union High),Ventura,Oxnard Union High,High School,2786,15.3,0.2,1.7,1.9,2.8,83.4,0.4,1.9,0,7.7,52.5,27.6,14,5.7,477,454
Pacheco High (Los Banos Unified),Merced,Los Banos Unified,High School,1503,16.8,0.7,1.1,2.4,1.5,82.5,1.1,0.8,0,9.8,81.9,22.8,7,10.4,434,424
Pacific Collegiate Charter (Santa Cruz County Office of Education),Santa Cruz,Santa Cruz County Office of Education,High School,518,0.6,0.2,4.8,0.8,0.4,14.5,0,7.3,1,71,7.1,17.2,6,1.1,610,623
Pacific Grove High (Pacific Grove Unified),Monterey,Pacific Grove Unified,High School,609,1.6,0.3,9.4,2.8,2.1,15.3,1.5,5.1,1,62.6,17.2,25.4,10,2.9,543,533
Pacific High (San Bernardino City Unified),San Bernardino,San Bernardino City Unified,High School,1350,16.4,0.3,1.6,16.2,0.3,73,0.5,1.1,0.9,6.1,89.3,21.4,10,12.7,416,408
Pacific Law Academy (Stockton Unified),San Joaquin,Stockton Unified,High School,210,3.8,1.4,7.1,7.6,1.4,64.3,1,4.3,0,12.9,69,28,11,2.3,489,469
Pacifica High (Garden Grove Unified),Orange,Garden Grove Unified,High School,1711,7.3,0.5,22.9,1.4,3,31.5,1.2,0.8,1.3,37.5,34.1,28.1,11,1.7,521,489
Pacifica High (Oxnard Union High),Ventura,Oxnard Union High,High School,3306,17.4,0.1,1.2,1.3,2.8,92.2,0.2,0.4,0,1.7,70.3,23.6,11,6.3,445,420
Pajaro Valley High (Pajaro Valley Unified),Santa Cruz,Pajaro Valley Unified,High School,1455,28,0.1,0.1,0.2,1.4,95.9,0,0.2,0,2.1,87.5,22.9,8,0,403,406
Palisades Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2970,1.3,0.3,7.9,14.2,1,22.2,0.5,0.5,0.3,53,29.6,23.3,11,1.8,555,544
Palm Desert High (Desert Sands Unified),Riverside,Desert Sands Unified,High School,1948,5.8,0.8,4.6,2.2,2.3,43.6,0.1,0.2,0.8,45.5,40.2,24.9,11,4.2,512,511
Palm Springs High (Palm Springs Unified),Riverside,Palm Springs Unified,High School,1778,12.8,0.8,1.5,8.9,5.6,58.5,0.6,1.2,0,23,68.7,25.3,12,5.1,452,446
Palmdale High (Antelope Valley Union High),Los Angeles,Antelope Valley Union High,High School,2688,14.4,0.3,0.3,16.1,0.8,74.1,0,2.2,0.4,5.8,78.6,21.3,13,11.3,421,420
Palo Alto High (Palo Alto Unified),Santa Clara,Palo Alto Unified,High School,1994,1.7,0.7,30.2,3.3,1,9.4,1.1,5.5,0,48.9,6.8,18,10,0.7,662,639
Palo Verde High (Palo Verde Unified),Riverside,Palo Verde Unified,High School,860,10.2,0.9,1.3,5.5,0.9,62.1,0.3,0.6,0.2,28.1,64.5,22.5,10,7.4,444,424
Paloma Valley High (Perris Union High),Riverside,Perris Union High,High School,2988,7.7,0.3,2.6,5.9,3.6,49.7,0.5,4.3,0.2,32.9,52.4,27.8,8,5.3,487,465
Palomares Academy of Health Science (Pomona Unified),Los Angeles,Pomona Unified,High School,436,26.1,0,2.1,5.7,1.1,88.1,0.5,0.5,0.5,1.6,88.3,17.6,11,6.3,407,378
Palos Verdes High (Palos Verdes Peninsula Unified),Los Angeles,Palos Verdes Peninsula Unified,High School,1716,2.4,0.1,13.5,2.4,1.9,11,0.2,3.2,0,67.6,2.2,23.3,11,2.6,581,567
Palos Verdes Peninsula High (Palos Verdes Peninsula Unified),Los Angeles,Palos Verdes Peninsula Unified,High School,2519,4.7,0.2,36.2,3.3,4.2,10.1,0.1,4,0,41.8,3.8,25.8,12,1.3,622,604
Panorama High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1303,24.2,0.1,0.8,1.9,3.4,91.5,0.8,0.2,0,1.5,85.3,20.8,16,0.1,405,404
Paradise eLearning Charter Academy (Paradise Unified),Butte,Paradise Unified,High School,56,N/A,0,0,1.8,0,5.4,0,19.6,0,73.2,57.1,56,14,0,0,0
Paradise Senior High (Paradise Unified),Butte,Paradise Unified,High School,1083,1.4,0.7,1.2,0.6,0.5,11.6,0.1,7.7,0,77.6,52.5,20,15,7.5,530,493
Paramount High (Paramount Unified),Los Angeles,Paramount Unified,High School,4794,19.5,0,0.7,8.2,0.8,87.8,0.8,0.6,0.1,1,91.2,22.8,12,8.6,439,414
Parlier High (Parlier Unified),Fresno,Parlier Unified,High School,836,45.5,0,0.6,0,0.2,98.6,0,0,0,0.6,98.4,20.9,7,4.1,381,364
Pasadena High (Pasadena Unified),Los Angeles,Pasadena Unified,High School,1871,5.8,0.4,3.7,12.3,2.5,58.7,0.4,3,0.6,18.4,60.4,21.3,12,4.5,489,470
Paso Robles High (Paso Robles Joint Unified),San Luis Obispo,Paso Robles Joint Unified,High School,2034,7.9,0.7,1.5,1.5,0.5,46.6,0.5,1.6,0.4,46.6,40.5,23.1,12,4.2,501,486
Pathways Community (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,183,28.4,0,0,17.5,0,82,0,0.5,0,0,100,12.6,1,7.3,N/A,N/A
Patriot High (Jurupa Unified),Riverside,Jurupa Unified,High School,2130,16.6,0.1,1.7,2.8,0.5,76.5,0.5,0.6,0.3,16.9,62.4,24.5,13,4.6,479,448
Patterson High (Patterson Joint Unified),Stanislaus,Patterson Joint Unified,High School,1715,19.9,0.5,2.5,7.6,2,68.8,1.6,1.4,0.1,15.5,67.4,23.8,8,7,440,434
Performing Arts Community at Diego Rivera Learning Complex (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,544,23.9,0,0,10.1,0,89,0,0.2,0,0.7,90.6,22.4,13,0,383,385
Perris High (Perris Union High),Riverside,Perris Union High,High School,2428,28,0.2,0.4,8.4,0.3,87.2,0.2,0.5,0,2.6,88.4,25.9,7,9.2,405,396
Pescadero High (La Honda-Pescadero Unified),San Mateo,La Honda-Pescadero Unified,High School,96,45.8,0,0,1,0,71.9,0,2.1,0,25,62.5,12.4,10,0,0,0
Petaluma High (Petaluma Joint Union High),Sonoma,Petaluma Joint Union High,High School,1354,5.8,0.8,1.5,1.1,0.9,27.7,0.2,2.7,0,65.1,31.2,21.3,11,12.5,533,514
Peter Johansen High (Modesto City High),Stanislaus,Modesto City High,High School,1747,12.1,0.5,2.8,3.7,0.4,64.1,1.7,3.1,1.5,22.2,77.6,24.1,8,9.2,453,443
Phillip J Patino School of Entrepreneurship (Fresno Unified),Fresno,Fresno Unified,High School,107,0.9,0,9.3,14,0,61.7,0,0.9,0,14,74.8,16.7,8,0,N/A,N/A
Phineas Banning Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1994,11.3,0.4,0.1,1.6,0.7,93.9,1.5,0.2,0,1.8,87.6,21.8,16,2,411,392
Phoenix Academy (Marin County Office of Education),Marin,Marin County Office of Education,High School,2,N/A,0,0,0,0,50,0,50,0,0,0,2.5,5,0,N/A,N/A
Piedmont High (Piedmont City Unified),Alameda,Piedmont City Unified,High School,800,0.5,0.1,16.3,2.3,1.6,4.1,0.1,7.3,0,68.3,0,17.7,11,0,646,652
Piedmont Hills High (East Side Union High),Santa Clara,East Side Union High,High School,2178,8.2,0.1,53.1,2.8,9.1,23.8,0.4,5,0,5.6,27.9,24.3,14,1.4,585,548
Pierce High (Pierce Joint Unified),Colusa,Pierce Joint Unified,High School,442,13.8,0.2,0.9,1.8,0.2,71.9,0.2,0.5,0,24.2,63.1,22,9,9.5,491,471
Piner High (Santa Rosa High),Sonoma,Santa Rosa High,High School,1161,18.1,1.1,6.4,2.5,0.8,61.1,1.6,2.6,1.2,22.8,55.6,22.3,11,6.9,495,463
Pinole Valley High (West Contra Costa Unified),Contra Costa,West Contra Costa Unified,High School,1160,14.1,0.1,14.6,16.6,9.2,43.3,0.5,1.9,0,13.8,61,22.3,13,5.8,408,405
Pioneer High (Whittier Union High),Los Angeles,Whittier Union High,High School,1446,13.4,0.2,0.4,0.8,0.5,94.2,0.1,0.1,1.2,2.6,85.3,24,11,8,466,423
Pioneer High (San Jose Unified),Santa Clara,San Jose Unified,High School,1574,5.3,0.4,13.5,3.1,2.9,33.6,0.5,1.8,0.2,43.9,28.9,21.6,11,4.7,544,526
Pioneer High (Woodland Joint Unified),Yolo,Woodland Joint Unified,High School,1525,13.1,0.4,7,1.2,0.8,63.8,0.3,1.4,0.4,24.8,60.8,22.5,9,5,480,467
Pioneer Technical Center (Madera County Office of Education),Madera,Madera County Office of Education,High School,160,25,0.6,0,1.9,0,75.6,0,2.5,0.6,18.8,90.6,14.6,7,1.7,N/A,N/A
Pioneer Valley High (Santa Maria Joint Union High),Santa Barbara,Santa Maria Joint Union High,High School,2694,23.9,0,0.6,0.9,3.7,89.3,0.1,0.7,0.2,4.4,73.6,23.4,11,2.9,469,444
Pittsburg Senior High (Pittsburg Unified),Contra Costa,Pittsburg Unified,High School,3113,20.8,0.2,3.2,19.2,7.2,59.8,1.9,2.8,0.3,5.5,68.7,22.4,8,6.4,437,439
Placer High (Placer Union High),Placer,Placer Union High,High School,1381,4.3,1,0.9,1.2,0.8,18,0,5.7,0,72.3,28.5,23.3,12,4.6,530,508
Pleasant Grove High (Elk Grove Unified),Sacramento,Elk Grove Unified,High School,2547,4.6,0.5,21.2,8.2,5.5,17.9,0.6,6.3,0.1,39.5,28.8,22,13,5.5,552,503
Pleasant Valley High (Chico Unified),Butte,Chico Unified,High School,1816,3.5,1.4,7.5,1.8,0.8,19.6,1,1.8,0.9,65.1,32.9,23,16,3.3,538,504
Point Arena High (Point Arena Joint Union High),Mendocino,Point Arena Joint Union High,High School,141,14.9,9.2,0.7,0,0,50.4,0,1.4,0,38.3,61.7,12.4,5,3.3,0,0
Point Loma High (San Diego Unified),San Diego,San Diego Unified,High School,1915,5.4,0.5,1.3,3.9,1.5,39.2,0.5,5.3,0.2,47.7,40.7,23.5,15,1.8,516,502
Polytechnic High (Riverside Unified),Riverside,Riverside Unified,High School,2744,8.5,0.5,2,6.2,0.9,57,0.4,1.1,0.7,31.2,52,25.1,13,4.3,487,473
Polytechnic High (Long Beach Unified),Los Angeles,Long Beach Unified,High School,4370,12.1,0.1,17,20.9,5.7,40,2,1.6,1,11.7,58.1,24.3,15,3.3,496,484
Pomona High (Pomona Unified),Los Angeles,Pomona Unified,High School,1340,22.9,0.1,0.7,10.2,0.3,85.2,0.1,1,0,2.5,85.7,21.6,15,2.2,397,399
Ponderosa High (El Dorado Union High),El Dorado,El Dorado Union High,High School,1778,1,0.7,2.2,0.4,0.9,13.1,0.2,4.9,0.1,77.6,14.3,23.5,14,7.2,570,524
Port of Los Angeles High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,980,3,0.2,0.9,4,3.1,75.9,0.1,2.3,7,6.4,60.2,21.3,5,1.7,484,483
Porterville High (Porterville Unified),Tulare,Porterville Unified,High School,1932,16.1,3.3,1.2,0.4,0.8,75.7,0.2,1,0.6,16.9,71.8,24.3,12,5.2,448,435
Portola Junior/Senior High (Plumas Unified),Plumas,Plumas Unified,High School,253,9.1,1.2,0,0,0.4,27.7,0,5.9,0,64.8,47.8,18.7,19,6.6,471,467
