School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
Foothill High (Kern High),Kern,Kern High,High School,1996,14.9,0.6,0.3,3.1,0.2,86.8,0.2,0.8,0.4,7.8,84,26,10,3.1,593,570
Foothill High (Pleasanton Unified),Alameda,Pleasanton Unified,High School,2085,2.2,0.2,33.9,2.5,3.5,9.2,0.3,3.5,0,47,5,23.1,12,16.2,444,402
Foothill High (Shasta Union High),Shasta,Shasta Union High,High School,1275,0.6,3.4,1.6,0.7,0.5,10.5,0.2,3.3,1.1,78.6,24,23,12,4,550,540
Foothill Technology High (Ventura Unified),Ventura,Ventura Unified,High School,1023,1.2,0.6,4.2,1.2,1,34.5,0.5,4.5,0,53.6,22.1,26.6,11,0.8,526,513
Foresthill High (Placer Union High),Placer,Placer Union High,High School,174,0.6,2.3,0,1.1,0,12.6,0,8.6,0.6,74.7,33.3,17.1,8,7.5,540,485
Fort Bragg High (Fort Bragg Unified),Mendocino,Fort Bragg Unified,High School,518,8.1,1,1,1,0.4,41.7,0,4.2,0.4,50.4,56.9,16,8,5.8,491,500
Fortuna Union High (Fortuna Union High),Humboldt,Fortuna Union High,High School,873,9.6,3.9,1,0.5,0.1,25.4,0.2,8.1,0,60.7,47.2,21.5,9,13.2,470,447
Fountain Valley High (Huntington Beach Union High),Orange,Huntington Beach Union High,High School,3558,4.7,1.3,51,1.3,1.2,12.8,0.9,1.1,0.8,29.6,26.7,28.4,9,0.7,576,539
Fowler High (Fowler Unified),Fresno,Fowler Unified,High School,772,14.6,0.4,9.6,1,0,78.2,0.1,0,0,10.6,74,19.5,10,3.7,420,430
Franklin High (Stockton Unified),San Joaquin,Stockton Unified,High School,2115,22.5,3,4.8,6.9,1.3,77,0.5,0.5,0,6.1,80.9,23,15,4.5,530,506
Franklin High (Elk Grove Unified),Sacramento,Elk Grove Unified,High School,2673,4.5,0.4,26.4,15,11,19.1,0.9,6.9,0,20.3,36.6,28.6,13,10.4,434,407
Frazier Mountain High (El Tejon Unified),Kern,El Tejon Unified,High School,286,10.8,0.7,1.4,0.3,0,34.6,0.3,4.9,3.5,54.2,56.3,23.5,11,12.8,458,442
Fred C. Beyer High (Modesto City High),Stanislaus,Modesto City High,High School,1716,4.2,0.2,3.4,3.7,1.7,39.3,0.9,7.2,2,41.6,48.5,24.2,9,5.8,502,485
Frederick Douglass Academy High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freedom High (Liberty Union High),Contra Costa,Liberty Union High,High School,2624,7.4,0.5,2.9,10.8,5.4,41,0.8,1.6,0.2,36.8,35.3,23.4,10,6.6,469,461
Fremont Academy of Engineering and Design (Pomona Unified),Los Angeles,Pomona Unified,High School,871,38,0.2,2.1,1.3,0.1,94.5,0,0.1,0.1,1.6,90.6,20.3,12,7.4,413,425
Fremont High (Oakland Unified),Alameda,Oakland Unified,High School,773,43.6,0,4.7,25.5,0.6,61.2,4.5,0.1,1.6,1.8,83.6,21.6,9,2.8,351,363
Fremont High (Fremont Union High),Santa Clara,Fremont Union High,High School,1965,16.2,0.2,18.6,1.7,9.7,44.2,0.8,4.9,0,19.8,35.4,15.8,7,14.7,567,529
Fresno Academy for Civic and Entrepreneurial Leadership (Fresno Unified),Fresno,Fresno Unified,High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fresno High (Fresno Unified),Fresno,Fresno Unified,High School,2410,12.4,0.6,5.3,9.8,0.4,72.6,0.4,1.4,0,9.7,87.5,25.3,15,10.2,418,400
Frontier High (Kern High),Kern,Kern High,High School,2320,1.5,0.7,3.3,2.5,3.6,32.2,0.4,1.7,1.4,54.2,22.9,28,13,5.1,508,487
Fullerton Union High (Fullerton Joint Union High),Orange,Fullerton Joint Union High,High School,2110,10.4,0.2,4.4,2,1.3,65.2,0.3,1.9,0,24.6,57.4,27.7,13,2.3,507,486
Fusion Charter (Turlock Unified),Stanislaus,Turlock Unified,High School,115,31.3,1.7,2.6,13.9,0,55.7,0.9,4.3,0.9,20,93.9,22.5,3,0,N/A,N/A
Futures High (Twin Rivers Unified),Sacramento,Twin Rivers Unified,High School,424,30.2,0,3.1,0.5,0,0.7,0,0.5,0,95.3,82.3,21.2,4,15,508,543
Gabrielino High (San Gabriel Unified),Los Angeles,San Gabriel Unified,High School,1813,20.9,0.3,55.7,1.1,3,33.1,0.2,0.4,0.8,5.4,53.8,24.6,8,3.2,564,525
Gahr (Richard) High (ABC Unified),Los Angeles,ABC Unified,High School,1981,10,0.2,15.1,15.9,12.9,46.1,0.9,1.4,0.1,7.4,52.7,24.1,13,1.3,476,460
Galileo High (San Francisco Unified),San Francisco,San Francisco Unified,High School,1890,19.2,0.3,62.9,5,4.9,16.8,0.7,0.7,2.9,6,76.3,18.6,14,2,507,430
Galt High (Galt Joint Union High),Sacramento,Galt Joint Union High,High School,924,8.1,0.4,0.9,0.8,0.6,62.4,0.3,2.4,2.1,30.1,72.2,21.4,9,1.4,490,483
Ganesha High (Pomona Unified),Los Angeles,Pomona Unified,High School,1059,29.5,0.1,1.7,3.2,0.4,92.6,0.2,0.4,0.1,1.3,88,19.5,16,6.2,398,397
Garden Grove High (Garden Grove Unified),Orange,Garden Grove Unified,High School,2454,20.4,0.1,32.5,1.4,2.1,52.7,1.1,0.1,1,9,60.5,23.8,12,2.3,503,495
Gardena Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1586,12.5,0.4,3,25.9,2.3,64.7,0.9,0.9,0.1,1.9,81.3,22.1,15,1.3,417,409
Garey High (Pomona Unified),Los Angeles,Pomona Unified,High School,1821,32.3,0.2,3.1,2.6,0.3,92.2,0.1,0.2,0,1.3,87.8,22.8,13,6.7,425,419
Gateway College and Career Academy (Riverside County Office of Education),Riverside,Riverside County Office of Education,High School,167,13.2,0,1.8,9.6,1.8,63.5,1.2,1.2,1.8,19.2,62.9,33.4,2,0,N/A,N/A
Gateway High (San Francisco Unified),San Francisco,San Francisco Unified,High School,482,8.3,0.2,12.7,14.5,1.2,32.8,0,8.3,4.1,26.1,39.8,17.8,6,3.1,466,457
Gateway to College Academy (Petaluma Joint Union High),Sonoma,Petaluma Joint Union High,High School,76,10.5,1.3,0,2.6,2.6,56.6,1.3,2.6,1.3,31.6,43.4,42.2,1,0,N/A,N/A
George Washington Carver School of Arts and Science (Sacramento City Unified),Sacramento,Sacramento City Unified,High School,315,1.9,0,2.2,10.2,0.3,21.3,0.3,6,0,59.7,49.8,19.9,11,5.4,0,0
George Washington Preparatory High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,957,15.6,0.2,0.4,44.9,0,52,0.3,0.6,0.3,1.1,87.9,16.1,16,1.9,379,382
Gilroy High (Gilroy Unified),Santa Clara,Gilroy Unified,High School,1501,13,0.7,1.4,0.9,1.6,76.6,0.2,1.1,1.3,16.3,61.4,20.4,9,6.2,477,455
Glacier High School Charter (Yosemite Unified),Madera,Yosemite Unified,High School,103,N/A,1,1.9,1,0,29.1,0,0,1,66,29.1,17.6,6,0,0,0
Gladstone High (Azusa Unified),Los Angeles,Azusa Unified,High School,1216,14.7,0.2,0.6,0.5,1.5,92.9,0.2,0.4,0,3.7,76.4,23.2,12,0.5,445,433
Glen A. Wilson High (Hacienda la Puente Unified),Los Angeles,Hacienda la Puente Unified,High School,1594,6.7,0.1,38.5,1.2,2.8,51.1,0.4,0.9,0,5.1,54.5,25.3,12,1.9,554,511
Glendale High (Glendale Unified),Los Angeles,Glendale Unified,High School,2433,19.6,0.3,3,1.5,12.1,35.8,0.1,0.9,0,46.2,68.6,24.3,16,5.5,524,488
Glendora High (Glendora Unified),Los Angeles,Glendora Unified,High School,2528,3.1,0.2,6.4,1.5,3.2,39,0.3,3.4,0.1,46,21.1,25.4,13,2.8,554,522
Global Youth Charter (Center Joint Unified),Sacramento,Center Joint Unified,High School,59,5.1,3.4,1.7,10.2,1.7,42.4,0,3.4,0,37.3,67.8,11.8,8,0,0,0
Golden Sierra Junior Senior High (Black Oak Mine Unified),El Dorado,Black Oak Mine Unified,High School,519,0.4,1.5,0.6,1,0.2,9.6,0,0.4,0,86.7,43.5,20.3,11,11.5,541,491
Golden Valley High (Kern High),Kern,Kern High,High School,2402,12.3,0.4,2.7,6.8,0.8,80.6,0.2,0.3,0.5,7.8,82,23.7,8,10.6,507,486
Golden Valley High (William S. Hart Union High),Los Angeles,William S. Hart Union High,High School,2129,16.5,0.2,4.4,8.1,6.5,54.3,0.1,4.5,0,21.8,38.1,22.1,14,1.6,430,423
Golden Valley High (Merced Union High),Merced,Merced Union High,High School,1716,8.8,0.3,12.6,3.7,0.6,64.3,0.1,3.9,0.1,14.5,82.7,25.3,11,6.5,459,441
Golden West High (Visalia Unified),Tulare,Visalia Unified,High School,1651,9.1,1.6,3.8,1.3,0.2,68.6,0.1,1.3,0.5,22.7,58.4,23.9,15,9.8,475,457
