"Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
399,4.8,0.8,4.3,8.8,4,51.9,0.8,0.8,0,28.8,41.4,20.8,5,4.7,494,481,12265,63,12,12,0,0,0,4,9,76603
405,14.6,0,1,16.3,2,66.2,0.5,1.5,0.7,11.9,69.1,13.5,2,1.2,453,421,12265,63,12,12,0,0,0,4,9,76603
583,3.6,1.4,6.5,8.6,4.3,43.2,0.7,1,0,34.3,40.8,19.8,6,2.4,527,513,12265,63,12,12,0,0,0,4,9,76603
1828,3,0.7,5,0.2,0.8,19.9,0.1,1.6,0,71.7,10.7,24,12,1.7,561,549,9952,60,11,11,2,0,0,5,9,97644
1894,5.2,0.3,4.4,1.1,1.3,15,0.3,2,0,75.6,7.9,24.8,14,1.6,570,548,9952,60,11,11,2,0,0,5,9,97644
2602,5,0.2,22.8,1.4,1,11.8,0.2,1.4,0,61.2,5.6,26.9,13,1.1,635,612,9952,60,11,11,2,0,0,5,9,97644
2255,0.7,0.2,25.6,0.8,1.2,6.9,0.3,1.8,0,63.1,2.9,25.3,8,0.8,640,628,9952,60,11,11,2,0,0,5,9,97644
1890,19.2,0.3,62.9,5,4.9,16.8,0.7,0.7,2.9,6,76.3,18.6,14,2,507,430,11319,41,23,7,1,0,0,5,9,67537
1058,37.5,0.8,14.5,15.4,3.4,50.3,0.9,1,3.2,10.6,68.1,13.5,12,2.1,444,408,11319,41,23,7,1,0,0,5,9,67537
444,56.5,0.2,35.4,10.1,2.5,44.8,2.9,0.9,1.8,1.4,80.2,11.1,11,0.9,447,350,11319,41,23,7,1,0,0,5,9,67537
482,8.3,0.2,12.7,14.5,1.2,32.8,0,8.3,4.1,26.1,39.8,17.8,6,3.1,466,457,11319,41,23,7,1,0,0,5,9,67537
340,10.9,0.9,1.2,20.6,4.7,57.6,2.6,4.1,2.9,5.3,73.5,18.1,4,15.4,408,398,11319,41,23,7,1,0,0,5,9,67537
268,19,0,0.7,16.8,5.6,62.3,1.1,6,5.6,1.9,87.3,21.6,4,3.6,349,369,11319,41,23,7,1,0,0,5,9,67537
2685,1.8,0.3,56.7,1.9,7.9,9.9,0.9,2.1,5.1,15.2,39.7,19.6,15,0.1,627,580,11319,41,23,7,1,0,0,5,9,67537
1260,15.4,0.3,39.1,6.8,10.6,32.9,2.7,1,2.5,4.1,68.7,17,12,1.7,510,459,11319,41,23,7,1,0,0,5,9,67537
319,19.7,0.6,10,16.9,7.2,57.4,0.3,2.2,0.6,4.7,63.6,9.4,11,4.2,415,398,11319,41,23,7,1,0,0,5,9,67537
2046,16.4,0.9,56.2,5.5,4.3,21.5,0.8,1,3.1,6.7,51.8,20.2,14,1.2,521,451,11319,41,23,7,1,0,0,5,9,67537
636,12.9,0.8,51.3,11.6,4.4,14.5,0.2,1.4,3.1,12.7,60.5,20.4,11,1.3,503,454,11319,41,23,7,1,0,0,5,9,67537
2054,15.5,0.5,62.3,4.1,4.4,14.9,0.8,1.2,3.4,8.4,62.2,19.9,16,2.4,517,449,11319,41,23,7,1,0,0,5,9,67537
1033,15.2,0.2,32.9,12,18.9,26.9,3.6,1.3,1.5,2.8,74.2,15.4,12,3,474,433,11319,41,23,7,1,0,0,5,9,67537
1813,20.9,0.3,55.7,1.1,3,33.1,0.2,0.4,0.8,5.4,53.8,24.6,8,3.2,564,525,11073,63,10,9,1,0,0,6,8,72705
2506,11,1.8,1,9.4,1.4,69.2,0.4,2.2,0,14.7,74.4,24.4,9,6.9,437,429,10917,64,12,7,0,0,0,7,10,78284
