District Name,County Name (District),District Type (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District),Teacher Salary-Avg (District)
Cottonwood Union Elementary (Shasta),Shasta,Elementary School District,9747,64,9,7,2,0,0,7,10,62779
Covina-Valley Unified (Los Angeles),Los Angeles,Unified School District,11074,61,11,6,0,0,0,7,9,82231
Cucamonga Elementary (San Bernardino),San Bernardino,Elementary School District,11331,65,10,6,0,0,0,6,8,80463
Cuddeback Union Elementary (Humboldt),Humboldt,Elementary School District,10253,61,12,10,0,0,0,8,7,49523
Culver City Unified (Los Angeles),Los Angeles,Unified School District,11060,62,14,9,0,0,0,6,9,74671
Cupertino Union (Santa Clara),Santa Clara,Elementary School District,9911,66,14,5,0,0,0,6,9,82173
Curtis Creek Elementary (Tuolumne),Tuolumne,Elementary School District,10240,62,9,5,0,0,0,8,14,63590
Cutler-Orosi Joint Unified (Tulare),Tulare,Unified School District,10440,49,13,8,1,3,0,5,19,69781
Cutten Elementary (Humboldt),Humboldt,Elementary School District,7713,70,9,2,0,1,0,5,10,63867
Cuyama Joint Unified (Santa Barbara),Santa Barbara,Unified School District,13270,58,7,5,1,0,0,9,12,58335
Cypress Elementary (Orange),Orange,Elementary School District,8993,65,10,3,0,0,0,8,12,84481
Davis Joint Unified (Yolo),Yolo,Unified School District,10616,62,11,8,1,0,0,7,10,67085
Death Valley Unified (Inyo),Inyo,Unified School District,46296,43,8,16,0,0,0,18,14,N/A
Dehesa Elementary (San Diego),San Diego,Elementary School District,21127,67,10,5,0,0,0,9,9,N/A
Del Mar Union Elementary (San Diego),San Diego,Elementary School District,12016,69,8,4,0,0,0,7,11,82373
Del Norte County Office of Education (Del Norte),Del Norte,County Office of Education (COE),N/A,39,8,22,0,0,0,31,0,N/A
Del Norte County Unified (Del Norte),Del Norte,Unified School District,10942,62,10,9,0,0,0,5,14,64793
Delano Joint Union High (Kern),Kern,High School District,12108,52,11,13,1,0,0,5,15,64707
Delano Union Elementary (Kern),Kern,Elementary School District,10846,58,10,7,2,0,0,5,11,71939
Delhi Unified (Merced),Merced,Unified School District,11733,58,16,6,1,0,0,6,11,75376
Delphic Elementary (Siskiyou),Siskiyou,Elementary School District,11063,47,24,0,2,0,0,13,12,N/A
Denair Unified (Stanislaus),Stanislaus,Unified School District,9047,55,21,5,1,0,0,4,13,60943
Desert Center Unified (Riverside),Riverside,Unified School District,58543,37,19,15,0,0,0,14,15,72840
Desert Sands Unified (Riverside),Riverside,Unified School District,11166,62,13,9,1,0,0,5,10,83664
Di Giorgio Elementary (Kern),Kern,Elementary School District,10034,59,11,5,0,0,0,10,12,64737
Dinuba Unified (Tulare),Tulare,Unified School District,10077,60,14,7,1,0,0,5,9,71560
Dixie Elementary (Marin),Marin,Elementary School District,10938,63,11,7,0,0,0,7,9,79843
Dixon Unified (Solano),Solano,Unified School District,9777,62,11,7,1,0,0,7,11,68111
Dos Palos Oro Loma Joint Unified (Merced),Merced,Unified School District,10111,54,11,11,1,0,0,8,13,N/A
Douglas City Elementary (Trinity),Trinity,Elementary School District,9792,61,11,4,4,0,0,6,10,52125
Downey Unified (Los Angeles),Los Angeles,Unified School District,11065,70,8,7,0,0,0,7,8,92172
Dry Creek Joint Elementary (Placer),Placer,Elementary School District,8359,69,11,6,0,0,0,5,8,78503
Duarte Unified (Los Angeles),Los Angeles,Unified School District,11584,60,12,6,1,0,0,9,11,74968
Dublin Unified (Alameda),Alameda,Unified School District,9325,66,11,6,0,0,0,6,10,82061
Ducor Union Elementary (Tulare),Tulare,Elementary School District,12181,53,16,4,1,0,0,8,16,49841
Dunham Elementary (Sonoma),Sonoma,Elementary School District,9652,55,10,5,0,3,0,8,7,N/A
Dunsmuir Elementary (Siskiyou),Siskiyou,Elementary School District,18751,44,15,2,1,0,0,7,25,56685
Dunsmuir Joint Union High (Siskiyou),Siskiyou,High School District,24118,45,15,8,7,0,0,11,14,40602
Durham Unified (Butte),Butte,Unified School District,9618,61,9,8,2,0,0,7,10,63348
Earlimart Elementary (Tulare),Tulare,Elementary School District,11635,57,17,8,0,0,0,7,11,68486
East Nicolaus Joint Union High (Sutter),Sutter,High School District,11456,38,10,14,5,0,0,9,23,N/A
East Side Union High (Santa Clara),Santa Clara,High School District,11189,58,11,12,1,0,0,5,9,87300
East Whittier City Elementary (Los Angeles),Los Angeles,Elementary School District,9780,70,7,6,0,0,0,7,10,83409
Eastern Sierra Unified (Mono),Mono,Unified School District,24792,51,13,11,0,0,0,12,13,64497
Eastside Union Elementary (Los Angeles),Los Angeles,Elementary School District,10584,64,9,7,0,0,0,6,12,75720
Edison Elementary (Kern),Kern,Elementary School District,10110,57,9,8,0,0,0,6,14,62027
El Centro Elementary (Imperial),Imperial,Elementary School District,10607,62,11,7,0,0,0,6,11,N/A
El Dorado County Office of Education (El Dorado),El Dorado,County Office of Education (COE),N/A,40,22,15,1,1,0,17,5,72219
El Dorado Union High (El Dorado),El Dorado,High School District,10559,56,11,12,2,0,0,6,12,79144
El Monte City (Los Angeles),Los Angeles,Elementary School District,11214,66,12,8,0,0,0,5,9,82953
El Monte Union High (Los Angeles),Los Angeles,High School District,12320,55,11,11,2,0,0,7,12,84499
El Nido Elementary (Merced),Merced,Elementary School District,13312,50,13,13,0,0,0,10,12,62059
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,10826,62,10,9,0,0,1,6,11,76336
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,9699,60,8,6,0,2,2,10,11,77859
El Tejon Unified (Kern),Kern,Unified School District,10164,47,7,10,4,4,0,8,9,65661
