"","District Name","School Name","County Name","School Type (School)","Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
"1057","San Francisco Unified","Five Keys Charter","San Francisco","High School","382","15.7","1","1.3","27","0.8","54.7","2.1","0.3","0.8","12","3.1","26.3","2","0","N/A","N/A","11319","41","23","7","1","0","0","5","9","67537"
"1058","San Francisco Unified","Wallenberg","San Francisco","High School","636","12.9","0.8","51.3","11.6","4.4","14.5","0.2","1.4","3.1","12.7","60.5","20.4","11","1.3","503","454","11319","41","23","7","1","0","0","5","9","67537"
"1059","San Francisco Unified","Washington","San Francisco","High School","2054","15.5","0.5","62.3","4.1","4.4","14.9","0.8","1.2","3.4","8.4","62.2","19.9","16","2.4","517","449","11319","41","23","7","1","0","0","5","9","67537"
"1060","San Francisco Unified","Burton","San Francisco","High School","1033","15.2","0.2","32.9","12","18.9","26.9","3.6","1.3","1.5","2.8","74.2","15.4","12","3","474","433","11319","41","23","7","1","0","0","5","9","67537"
"1061","San Gabriel Unified","Gabrielino High","Los Angeles","High School","1813","20.9","0.3","55.7","1.1","3","33.1","0.2","0.4","0.8","5.4","53.8","24.6","8","3.2","564","525","11073","63","10","9","1","0","0","6","8","72705"
"1062","San Jacinto Unified","San Jacinto High","Riverside","High School","2506","11","1.8","1","9.4","1.4","69.2","0.4","2.2","0","14.7","74.4","24.4","9","6.9","437","429","10917","64","12","7","0","0","0","7","10","78284"
"1063","San Joaquin County Office of Education","one.Charter","San Joaquin","High School","212","8.5","0","4.7","13.2","0.5","55.2","0","7.1","0","19.3","80.2","22.8","8","4.4","N/A","N/A","N/A","34","25","13","0","0","6","10","10","63439"
"1064","San Joaquin County Office of Education","San Joaquin Building Futures Academy","San Joaquin","High School","140","10","0.7","2.9","24.3","0.7","63.6","0","2.9","0","5","92.9","23.3","3","10.1","N/A","N/A","N/A","34","25","13","0","0","6","10","10","63439"
"1065","San Jose Unified","Abraham Lincoln High","Santa Clara","High School","1903","14.2","0.6","4","3.3","1.6","72.9","0.5","1.6","0.3","15.3","55.8","22.3","10","3.2","467","469","11075","57","16","11","1","0","0","5","10","72731"
"1066","San Jose Unified","Willow Glen High","Santa Clara","High School","1697","10.1","0.4","5.1","4.1","2","54.1","0.6","0.9","0.6","32.1","37.5","22.4","10","4","512","499","11075","57","16","11","1","0","0","5","10","72731"
